epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.48457,0.79283,2.97896,1.2207,0.0229,1,0.15871,0.06388,0.56947,3.07733,1.27617,0,0,0
2,8.64907,0.9592,2.89231,1.32883,0.02317,1,0.16449,0.06582,0.55416,3.0762,1.27079,1.14606e-05,1.14606e-05,1.14606e-05
3,11.9232,0.76895,2.88865,1.24695,0.02353,1,0.18114,0.0726,0.49276,3.07342,1.25757,1.72623e-05,1.72623e-05,1.72623e-05
4,15.2277,0.83723,2.83777,1.21677,0.0239,1,0.19281,0.06955,0.43985,3.06661,1.24294,1.74052e-05,1.74052e-05,1.74052e-05
5,19.152,0.77921,2.86856,1.19171,0.02459,1,0.21253,0.08367,0.4133,3.06328,1.24141,1.18893e-05,1.18893e-05,1.18893e-05
